2020-09-15 12:36:26 720 INFO  GetApiTest:54 - 开始执行用例...
2020-09-15 12:36:26 726 INFO  GetApiTest:56 - url: https://reqres.in/api/users
2020-09-15 12:36:27 486 INFO  RestClient:70 - 开始发送post请求...
2020-09-15 12:36:29 633 INFO  RestClient:72 - 发送请求成功！开始得到响应对象。
2020-09-15 12:36:29 633 INFO  RestClient:83 - 解析，得到响应状态码:201
2020-09-15 12:36:29 635 INFO  RestClient:96 - 得到响应对象的String格式
2020-09-15 12:36:29 659 INFO  RestClient:99 - 返回响应内容的JSON格式
2020-09-15 12:36:29 660 INFO  GetApiTest:65 - 执行JSON解析，解析的内容是 Nicole HR
2020-09-15 12:36:29 660 INFO  GetApiTest:66 - 接口内容响应断言
2020-09-15 12:36:29 661 INFO  GetApiTest:69 - 用例执行结束...
2020-09-15 12:36:29 695 INFO  GetApiTest:74 - 开始执行用例...
2020-09-15 12:36:29 696 INFO  GetApiTest:76 - url: https://reqres.in/api/users
2020-09-15 12:36:29 700 INFO  RestClient:31 - 开始发送get请求...
2020-09-15 12:36:32 386 INFO  RestClient:33 - 发送请求成功！开始得到响应对象。
2020-09-15 12:36:32 387 INFO  RestClient:83 - 解析，得到响应状态码:200
2020-09-15 12:36:32 388 INFO  RestClient:96 - 得到响应对象的String格式
2020-09-15 12:36:33 881 INFO  RestClient:99 - 返回响应内容的JSON格式
2020-09-15 12:36:33 882 INFO  GetApiTest:82 - 执行JSON解析，解析的内容是 George
2020-09-15 12:36:33 882 INFO  GetApiTest:84 - 用例执行结束...
2020-09-15 12:36:33 963 INFO  GetApiTest:33 - 测试服务器地址为：https://reqres.in
2020-09-15 12:36:33 964 INFO  GetApiTest:35 - 当前测试接口的完整地址为：https://reqres.in/api/users
2020-09-15 12:36:33 965 INFO  GetApiTest:40 - 开始执行用例...
2020-09-15 12:36:33 972 INFO  RestClient:31 - 开始发送get请求...
2020-09-15 12:36:34 887 INFO  RestClient:33 - 发送请求成功！开始得到响应对象。
2020-09-15 12:36:34 888 INFO  RestClient:83 - 解析，得到响应状态码:200
2020-09-15 12:36:34 889 INFO  RestClient:96 - 得到响应对象的String格式
2020-09-15 12:36:35 711 INFO  RestClient:99 - 返回响应内容的JSON格式
2020-09-15 12:36:35 712 INFO  GetApiTest:47 - 执行JSON解析，解析的内容是 George
2020-09-15 12:36:35 712 INFO  GetApiTest:48 - 接口内容响应断言
2020-09-15 12:36:35 713 INFO  GetApiTest:50 - 用例执行结束...
2020-09-15 12:36:35 714 INFO  GetApiTest:55 - 开始执行用例...
2020-09-15 12:36:35 720 INFO  RestClient:70 - 开始发送post请求...
2020-09-15 12:36:47 222 INFO  RestClient:72 - 发送请求成功！开始得到响应对象。
2020-09-15 12:36:47 222 INFO  RestClient:83 - 解析，得到响应状态码:201
2020-09-15 12:36:47 222 INFO  RestClient:96 - 得到响应对象的String格式
2020-09-15 12:36:47 223 INFO  RestClient:99 - 返回响应内容的JSON格式
2020-09-15 12:36:47 223 INFO  GetApiTest:67 - 执行JSON解析，解析的内容是 Nicole HR
2020-09-15 12:36:47 223 INFO  GetApiTest:68 - 接口内容响应断言
2020-09-15 12:36:47 224 INFO  GetApiTest:71 - 用例执行结束...
